Name,Headline,About,Profile URL
Sundar Pichai,CEO at Google,Not found,https://www.linkedin.com/in/sundarpichai/
Satya Nadella,Chairman and CEO at Microsoft,Not found,https://www.linkedin.com/in/satyanadella/
,Not found,Not found,https://www.linkedin.com/in/markzuckerberg/
,Not found,Not found,https://www.linkedin.com/in/gailobic/
Reed Hastings,Chairman Netflix. CEO Powder.org. Board member Anthropic and Bloomberg,Not found,https://www.linkedin.com/in/reedhastings/
Wyatt Shuler,Software Engineer at Twitch (AWS),Not found,https://www.linkedin.com/in/warrenbuffett/
,Not found,Not found,https://www.linkedin.com/in/jeffbezos/
,Not found,Not found,https://www.linkedin.com/in/elonmusk/
Tim Cook,"Big Data Software and Platform Engineer @ dunnhumby | Spark, GCP, Python Performance",Not found,https://www.linkedin.com/in/tim-cook/
,Not found,Not found,https://www.linkedin.com/in/sherylsandberg/
,Not found,Not found,https://www.linkedin.com/in/indianofficial/
Narendra Modi,Prime Minister of India,Not found,https://www.linkedin.com/in/narendramodi/
,Not found,Not found,https://www.linkedin.com/in/mukeshambani/
,Not found,Not found,https://www.linkedin.com/in/nandan Nilekani/
,Not found,Not found,https://www.linkedin.com/in/anandmahindra/
,Not found,Not found,https://www.linkedin.com/in/kiranmazumdar/
,Not found,Not found,https://www.linkedin.com/in/azimpremji/
Shilpa Bidathanapalli,"People & Culture II Psychology II Passionate about Talent, Transformation & Technology II Mentor ll Coach & Counsellor",Not found,https://www.linkedin.com/in/shilpab/
Radhika Golikere,Counselling Psychologist -Specialisation in Teenagers and Adults Counselling,Not found,https://www.linkedin.com/in/radhikag/
Sachin Bansal,Building Navi,Not found,https://www.linkedin.com/in/sachinbansal/
